,property_type,price,room_type,accommodates,wifi,parking,elevator,laundry,pool,bar,restaurant,gym,media_entertainment,air_conditioning,country
318,Hotel,6000.0,room,3,1,0,0,0,0,0,1,0,0,0,India
319,Hotel,4445.0,room,3,1,1,1,0,1,1,1,0,1,1,India
320,Hotel,8889.0,entire_home,2,1,0,0,0,0,0,0,0,0,1,India
321,Hotel,5555.0,room,3,0,0,1,1,0,0,1,0,0,0,India
322,Hotel,1850.0,room,3,0,0,0,0,0,0,0,0,1,1,India
323,Hotel,3528.0,entire_home,4,1,0,0,0,0,1,1,0,0,0,India
324,Homestay,662.0,room,3,0,0,0,0,0,0,1,0,0,0,India
325,Hotel,600.0,room,4,0,1,0,0,0,1,1,0,1,0,India
326,Hotel,612.0,room,4,0,0,0,0,0,0,0,0,1,1,India
327,Hotel,3855.0,room,3,1,1,1,0,0,0,1,0,1,1,India
328,Hotel,1075.0,entire_home,2,0,1,0,0,0,0,0,0,0,0,India
329,Hotel,1778.0,room,1,0,0,0,0,0,0,0,0,0,0,India
330,Hotel,1329.0,room,4,1,0,0,0,0,0,0,0,0,1,India
331,Apartment,71614.0,entire_home,6,1,1,0,0,1,0,1,0,0,0,India
332,Hotel,6720.0,room,4,1,0,0,0,0,0,1,0,0,0,India
333,Hotel,1134.0,room,2,0,0,0,0,0,0,0,0,0,0,India
334,Hotel,1956.0,room,4,1,1,0,0,0,0,0,0,0,1,India
335,Hotel,1584.0,room,4,0,0,0,0,0,0,0,0,0,1,India
336,Hotel,1889.0,room,3,1,0,0,0,0,0,1,0,1,1,India
337,Hotel,5858.0,room,4,1,0,0,0,0,0,1,0,1,1,India
338,Hotel,3082.0,room,4,1,0,1,0,0,1,1,0,1,1,India
339,Hotel,1113.0,room,4,0,0,0,0,0,0,0,0,1,1,India
340,Hotel,3334.0,room,1,1,0,0,0,0,0,1,0,0,1,India
341,House,700.0,room,4,0,0,0,0,0,0,0,0,1,0,India
342,Homestay,1600.0,room,4,1,1,0,0,0,0,1,0,0,1,India
343,Homestay,945.0,room,3,0,0,0,0,0,0,1,0,0,1,India
344,House,756.0,room,2,0,0,0,0,0,0,0,0,0,0,India
345,Hotel,1134.0,room,2,1,0,0,0,0,0,0,0,0,0,India
346,Hotel,2656.0,room,3,0,0,0,0,0,0,0,0,1,0,India
347,Hotel,2778.0,room,3,1,1,1,0,0,0,1,0,1,0,India
348,House,1889.0,room,2,1,0,0,0,0,0,0,0,0,1,India
349,Hotel,3334.0,room,3,1,1,0,0,0,0,1,0,1,1,India
350,Hotel,2667.0,room,3,1,1,0,0,0,0,0,0,1,1,India
351,Homestay,945.0,room,3,0,0,0,0,0,0,1,0,0,1,India
